,0,1,2
1151,179,201,218
1152,180,202,219
1153,181,203,220
1154,181,203,220
1155,180,202,219
1156,180,202,219
1157,179,201,218
1158,179,201,218
1159,180,202,219
1160,180,202,219
1161,181,203,220
1162,181,203,220
1163,182,204,221
1164,182,204,221
1165,182,204,221
1166,182,204,221
1167,182,204,221
1168,182,204,221
1169,182,204,221
1170,182,204,221
1171,182,204,221
1172,182,204,221
1173,182,204,221
1174,182,204,221
1175,181,203,220
1176,181,203,220
1177,182,204,221
1178,181,203,220
1179,180,202,219
1180,178,200,217
1181,181,203,220
1182,182,204,221
1183,181,203,220
1184,180,202,219
1185,180,202,219
1186,181,203,220
1187,181,203,220
1188,180,202,219
1189,181,203,220
1190,181,203,220
1191,181,203,220
1192,180,202,219
1193,181,203,220
1194,182,204,221
1195,181,203,220
1196,181,204,220
1197,182,204,221
1198,181,203,220
1199,181,203,220
1200,180,202,219
1201,180,202,219
1202,180,202,219
1203,177,199,216
1204,177,199,217
1205,179,201,220
1206,174,196,214
1207,170,193,211
1208,178,201,219
1209,184,207,225
1210,179,202,221
1211,171,195,214
1212,171,195,214
1213,195,219,238
1214,190,214,234
1215,159,183,202
1216,137,159,178
1217,94,116,136
1218,51,73,92
1219,46,67,86
1220,79,99,119
1221,111,132,151
1222,93,113,133
1223,48,69,87
1224,36,56,77
1225,41,61,83
1226,22,40,61
1227,26,41,64
1228,27,40,64
1229,33,45,69
1230,61,71,99
1231,50,60,87
1232,34,44,68
1233,43,55,77
1234,83,97,119
1235,39,56,79
1236,33,52,75
1237,53,72,96
1238,61,79,104
1239,59,75,101
1240,95,109,135
1241,70,82,109
1242,34,46,74
1243,40,52,79
1244,37,48,74
1245,19,30,54
1246,10,21,42
1247,11,22,41
1248,14,25,43
1249,24,34,52
1250,10,14,35
1251,21,22,47
1252,27,29,55
1253,17,20,45
1254,17,21,44
1255,13,18,40
1256,11,18,38
1257,20,28,48
1258,28,37,56
1259,56,66,86
1260,73,81,103
1261,42,50,72
1262,31,38,61
1263,25,31,55
1264,34,40,66
1265,39,45,72
1266,36,42,70
1267,26,32,60
1268,21,26,55
1269,18,23,50
1270,23,26,55
1271,21,26,54
1272,28,33,61
1273,43,48,76
1274,55,60,88
1275,64,68,96
1276,46,51,79
1277,24,29,56
1278,21,26,51
1279,25,31,52
1280,37,43,63
1281,43,49,70
1282,50,56,76
1283,40,46,67
1284,32,39,58
1285,12,19,37
1286,29,36,54
1287,66,74,93
1288,50,59,79
1289,30,40,59
1290,40,50,69
1291,29,38,58
1292,27,36,56
1293,72,81,100
1294,59,68,87
1295,22,31,50
1296,18,25,44
1297,34,40,60
1298,25,31,50
1299,49,56,74
1300,36,43,61
1301,16,23,40
1302,12,19,34
1303,8,15,30
1304,11,18,33
1305,9,16,30
1306,8,14,26
1307,7,12,23
1308,8,13,24
1309,7,12,24
1310,5,10,21
1311,8,13,25
1312,15,20,31
1313,20,25,36
1314,20,25,37
1315,19,23,38
1316,22,27,43
1317,26,32,48
1318,14,20,36
1319,34,42,57
1320,34,44,59
1321,24,34,49
1322,48,61,75
1323,37,50,64
1324,22,33,48
1325,33,43,58
1326,21,29,44
1327,11,19,34
1328,16,24,39
1329,21,27,43
1330,17,23,40
1331,20,26,42
1332,20,25,41
1333,23,28,43
1334,15,21,33
1335,17,22,35
1336,9,14,26
1337,4,9,21
1338,17,22,35
1339,21,26,37
1340,16,22,33
1341,29,34,46
1342,34,40,54
1343,30,33,51
1344,32,36,55
1345,23,26,46
1346,17,18,36
1347,6,9,28
1348,13,16,35
1349,12,15,35
1350,36,39,58
1351,58,62,81
1352,45,51,72
1353,70,76,97
1354,114,121,142
1355,72,77,97
1356,17,23,43
1357,17,23,43
1358,44,53,74
1359,102,111,132
1360,109,119,139
1361,81,95,113
1362,100,114,132
1363,107,121,139
1364,148,162,180
1365,154,169,186
1366,49,61,79
1367,30,44,62
1368,137,158,175
1369,196,220,237
1370,176,200,217
1371,177,199,216
1372,178,200,217
1373,177,199,216
1374,180,202,219
1375,181,203,220
1376,181,203,220
1377,180,202,219
1378,180,202,219
1379,180,202,219
1380,179,201,219
1381,180,202,219
1382,180,202,219
1383,182,204,221
1384,180,202,219
1385,180,202,219
1386,181,203,220
1387,181,203,220
1388,180,202,219
1389,180,202,219
1390,181,203,220
1391,180,202,219
1392,180,202,219
1393,180,202,219
1394,180,202,219
1395,180,202,219
1396,181,203,220
1397,181,203,220
1398,180,202,219
1399,178,200,217
1400,177,199,216
1401,178,200,217
1402,179,201,218
1403,180,202,219
1404,181,203,220
1405,182,204,221
1406,181,203,220
1407,181,203,220
